product_title_clean,product_category,country_name,price_usd,product_star_rating,product_num_ratings,popularity_weighted_score
"McAfee Total Protection 3-Device 2025 Ready |Security Software Includes Antivirus, Secure VPN, Password Manager, Identity Mon",Security/Antivirus,United States,24.99,4.1,5844.0,35.56070168301529
"McAfee Total Protection 3-Device 2025 | Security Software Includes Antivirus, Secure VPN, Scam Protection, Identity Monitorin",Security/Antivirus,United States,21.99,4.1,5844.0,35.56070168301529
"McAfee Total Protection (1 Geräte) 2025 | 12 Monate|Secure VPN, Sicherheitssoftware mit Virenschutz, Kennwort-Manager, Identi",Security/Antivirus,Germany,1078.92,4.1,5784.0,35.51839692247388
"McAfee Total Protection (3 Geräte) 2025 | 12 Monate|Secure VPN, Sicherheitssoftware mit Virenschutz, Kennwort-Manager, Identi",Security/Antivirus,Germany,1510.92,4.1,5784.0,35.51839692247388
"McAfee Total Protection 2025 | 1 Device, 3 Years | Antivirus Internet Security Software | Scam Protection & Identity Monitori",Security/Antivirus,India,20.388,4.4,5783.0,38.11654336088984
"Laplink PCmover Ultimate 11 - Migration of your Applications, Files and Settings from an Old PC to a New PC - Data Transfer S",System Utilities,United States,41.95,4.1,5755.0,35.497792078829754
"Laplink PCmover Ultimate 11 - Migration of your Applications, Files, and Settings from an Old PC to a New PC - Data Transfer",System Utilities,United States,63.95,4.1,5755.0,35.497792078829754
Quick Heal | Total Security | Latest Version | 2 Users | 3 Years (Physical Box),Security/Antivirus,India,32.148,4.3,5650.0,37.15022753840832
"Norton 360 Premium 2025, Antivirus software for 10 Devices with Auto-Renewal – Includes Advanced AI Scam Protection, VPN, Dar",Security/Antivirus,United States,29.99,4.1,5283.0,35.14699852913308
QuickSteuer 2025 (für Steuerjahr 2024) Private und gewerbliche Steuererklärung PC Aktivierungscode per Email,Tax Software,Germany,1651.3200000000002,4.3,5028.0,36.648798675539446
QuickSteuer Deluxe 2025 (für Steuerjahr 2024)|Private und gewerbliche Steuererklärung | PC Aktivierungscode per Email,Tax Software,Germany,3238.92,4.3,5028.0,36.648798675539446
QuickSteuer 2025 (für Steuerjahr 2024) | Minibox | Private und gewerbliche Steuererklärung,Tax Software,Germany,2050.92,4.3,5028.0,36.648798675539446
Microsoft 365 Family – 6 Devices- up to 6 TB of cloud storage (1 TB per person)- Advanced security - Innovative apps with AI,Security/Antivirus,India,87.58800000000001,4.3,4923.0,36.558068895408674
"[Old Version] TurboTax Home & Business 2023, Federal & State Tax Return [PC/Mac Download]",Tax Software,United States,119.99,4.4,4911.0,37.39752046723871
"[Old Version] TurboTax Home & Business 2023, Federal & State Tax Return [PC/Mac Disc]",Tax Software,United States,119.99,4.4,4911.0,37.39752046723871
"TurboTax Premier 2024 Tax Software, Federal & State Tax Return [PC/MAC Download]",Tax Software,United States,114.99,4.2,4866.0,35.658978641300514
WISO Steuer-Start 2022 (für Steuerjahr 2021 | Digitaler Download,Tax Software,Germany,1942.92,4.5,4863.0,38.20327390640701
"Laplink PCmover Ultimate 11 - Migration of your Applications, Files and Settings from an Old PC to a New PC - Data Transfer S",System Utilities,Canada,54.95,4.1,4732.0,34.695489572615614
"Laplink PCmover Ultimate 11 - Migration of your Applications, Files, and Settings from an Old PC to a New PC - Data Transfer",System Utilities,Canada,89.95,4.1,4732.0,34.695489572615614
"K7 Security K7 Antivirus Premium- 1 User, 1 Year (Email Delivery In 2 Hours, No Cd)",Security/Antivirus,India,2.7,4.2,4631.0,35.45112488086189
(Old Version) H&R Block Tax Software Deluxe + State 2023 with Refund Bonus Offer (Amazon Exclusive) (PC/MAC Download),Tax Software,United States,49.99,4.2,4631.0,35.45112488086189
Norton 360 Deluxe inkl. Utilities Ultimate 2025 | 5 Geräte | 1 Jahr | Aktivierungscode per Email,Security/Antivirus,Germany,2700.0,4.3,4553.0,36.22217336048185
Norton 360 Deluxe 2025 │ 5 Geräte │2 Jahre │ Aktivierungscode per Email,Security/Antivirus,Germany,4102.92,4.3,4553.0,36.22217336048185
Norton 360 Deluxe 2025 | 5 Geräte | 1 Jahr | Aktivierungscode per Email,Security/Antivirus,Germany,2050.92,4.3,4553.0,36.22217336048185
NORTON 360 Deluxe 2025 | 5 Geräte | 2 Jahre | Aktivierungscode per Email,Security/Antivirus,Germany,4318.92,4.3,4553.0,36.22217336048185
Kaspersky | Anti-Virus | 1 Device | 1 Year | Email Delivery in 1 Hour,Security/Antivirus,India,3.612,4.2,4470.0,35.30254298018272
"Bitdefender - 1 Computer,3 Years - Antivirus Plus | Windows | Latest Version | Email Delivery in 2 Hours- No CD |",Security/Antivirus,India,4.548,3.9,4180.0,32.5193923522906
【ダウンロード版】契約事務手数料が無料になるmineoエントリーパッケージ docomo/au/SoftBankの3回線が選べる格安SIMカード,Other,Japan,,4.0,4022.0,33.19913268779915
"McAfee Total Protection (5 Geräte) 2025 | 12 Monate|Secure VPN, Sicherheitssoftware mit Virenschutz, Kennwort-Manager, Identi",Security/Antivirus,Germany,1618.92,4.2,3958.0,34.79173633784575
"Roxio Easy VHS to DVD 3 Plus | VHS, Hi8, V8 Video to DVD or Digital Converter | Amazon Exclusive 2 Bonus DVDs [Windows Disc]",Operating System,United States,39.99,3.8,3805.0,31.328469381853157
Bitdefender Total Security – Complete Antivirus and Internet Security Suite – 5 Devices | 2 year Subscription | PC/Mac | Acti,Security/Antivirus,United States,74.99,4.4,3676.0,36.1233509177256
Quick Heal | Antivirus Pro – Renewal Pack | 1 user | 3 Years | Email Delivery in 1 Hour - no CD | Existing Quick Heal Single,Security/Antivirus,India,10.068,4.3,3593.0,35.20419058957707
Windows版 | Minecraft (マインクラフト): Java & Bedrock Edition | オンラインコード版,Operating System,Japan,,4.5,3589.0,36.836583666670464
"TurboTax Home & Business 2024 Tax Software, Federal & State Tax Return [PC/MAC (MacOS Ventura 13 or Sonoma 14 is required for",Operating System,United States,129.99,4.3,3557.0,35.160901633370855
"[Old Version] TurboTax Home & Business 2022 Tax Software, Federal and State Tax Return, [Amazon Exclusive] [PC/MAC Download]",Tax Software,United States,119.99,4.4,3536.0,35.95255043250412
Norton 360 Standard 2025 | 1 Gerät | 1 Jahr | Aktivierungscode per Email,Security/Antivirus,Germany,1240.92,4.0,3435.0,32.56825313241659
H&R Block Tax Software Deluxe + State 2024 with Refund Bonus Offer (Amazon Exclusive) Win/Mac [PC/Mac Online Code],Tax Software,United States,59.99,4.2,3400.0,34.15366409703022
Kaspersky | Internet Security | 1 Device | 3 Years | Email Delivery in 1 Hour,Security/Antivirus,India,10.188,4.5,3304.0,36.464362885286036
Kaspersky Plus Internet Security 2025 | 1 Gerät | 1 Jahr | Anti-Phishing und Firewall | Unbegrenzter VPN | Passwort-Manager |,Security/Antivirus,Germany,5938.92,4.5,3272.0,36.42058023525531
Kaspersky Plus Internet Security 2025 | 1 Gerät | 2 Jahre | Anti-Phishing und Firewall | Unbegrenzter VPN | Passwort-Manager,Security/Antivirus,Germany,5938.92,4.5,3272.0,36.42058023525531
"Norton AntiVirus Plus 2025, Antivirus software for 1 Device with Auto-Renewal – Includes Advanced AI Scam Protection, Passwor",Security/Antivirus,United States,19.99,3.7,3092.0,29.73651805893476
Webroot Antivirus Software 2025 | 3 Device | 1 Year Download for PC/Mac,Security/Antivirus,United States,17.99,4.3,3060.0,34.51393683746527
"Ralix Reinstall DVD For Windows 10 All Versions 32/64 bit. Recover, Restore, Repair Boot Disc, and Install to Factory Default",Operating System,Mexico,1425.65,3.6,3029.0,28.858744434612294
